Coaster_Name,Location,Manufacturer,Type_Main,Year_Introduced,Latitude,Longitude,Speed_mph,Height_ft,Inversions,Gforce,Opening_Date
Switchback Railway,Coney Island,LaMarcus Adna Thompson,Wood,1884,40.574,-73.978,6,103,0,2.9,1884-06-16
Flip Flap Railway,Sea Lion Park,Lina Beecher,Wood,1895,40.578,-73.979,49,103,1,12.0,1895-01-01
Switchback Railway (Euclid Beach Park),"Cleveland, Ohio, United States",Vekoma,Other,1896,41.58,-81.57,49,103,0,3.815092592592593,1999-01-01
Loop the Loop (Coney Island),Other,Edwin Prescott,Steel,1901,40.5745,-73.978,49,103,1,3.815092592592593,1901-01-01
Loop the Loop (Young's Pier),Other,Edwin Prescott,Steel,1901,39.3538,-74.4342,49,103,1,3.815092592592593,1901-01-01
Cannon Coaster,Coney Island,George Francis Meyer,Wood,1902,40.575,-73.98,49,103,0,3.815092592592593,1902-01-01
Leap-The-Dips,Lakemont Park,Federal Construction Company,Wood,1902,38.37574802043423,-41.59113754789273,10,103,0,3.815092592592593,1902-01-01
Figure Eight (Euclid Beach Park),"Cleveland, Ohio, United States",Vekoma,Other,1904,41.58,-81.57,49,103,0,3.815092592592593,1999-01-01
Drop the Dip,Coney Island,Arthur Jarvis,Other,1907,40.5744,-73.9786,49,103,0,3.815092592592593,1907-06-06
Scenic Railway (Euclid Beach Park),"Cleveland, Ohio, United States",Vekoma,Other,1907,41.58,-81.57,49,103,0,3.815092592592593,1999-01-01
Loop the Loop (Olentangy Park),Olentangy Park,Lina Beecher,Steel,1908,40.0204,-83.0143,49,103,1,3.815092592592593,1908-01-01
Aero Dips,"Cleveland, Ohio, United States",Vekoma,Other,1909,41.58,-81.57,49,103,0,3.815092592592593,1999-01-01
Backety-Back Scenic Railway,Crystal Beach,Vekoma,Wood,1909,42.8675,-79.0592,10,103,0,3.815092592592593,1909-01-01
Racer (1910 roller coaster),Kennywood,Charlie Mach,Wood,1910,40.3869,-79.8619,40,103,0,3.815092592592593,1927-01-01
Derby Racer,Revere Beach,Fred W. Pearce,Wood,1911,42.42,-70.986,49,103,0,3.815092592592593,1911-01-01
The Great Scenic Railway,Luna Park Melbourne,LaMarcus Thompson,Wood,1912,38.37574802043423,-41.59113754789273,37,52,0,3.815092592592593,1912-12-01
Zippin Pippin,Other,The Gravity Group,Wood,1912,38.37574802043423,-41.59113754789273,40,103,0,3.815092592592593,1999-01-01
Racing Coaster,"Cleveland, Ohio, United States",Vekoma,Other,1913,41.58,-81.57,49,103,0,3.815092592592593,1999-01-01
Whirl Pool Dips,Tolchester Beach Park,Vekoma,Wood,1913,39.214,-76.231,49,103,0,3.815092592592593,1913-01-01
Green Dragon (Lake Compounce),Lake Compounce,Vekoma,Wood,1914,41.642,-72.923,49,103,0,3.815092592592593,1914-01-01
The Wild One (roller coaster),Six Flags America,Dinn Corporation,Wood,1917,38.9092,-76.7725,53,103,0,3.815092592592593,1999-01-01
Jack Rabbit (Clementon Park),Clementon Park,Philadelphia Toboggan Coasters,Wood,1919,39.8041,-74.9844,49,103,0,3.815092592592593,1919-01-01
Jack Rabbit (Kennywood),Kennywood,Harry C. Baker,Wood,1920,40.3867,-79.8628,45,103,0,3.815092592592593,1920-01-01
Jack Rabbit (Seabreeze),Seabreeze Amusement Park,Harry C. Baker,Wood,1920,43.2316,-77.5432,42,103,0,3.815092592592593,1920-01-01
Scenic Railway (roller coaster),Dreamland Margate,Vekoma,Wood,1920,51.3853,1.3775,35,103,0,3.815092592592593,1920-07-03
Roller Coaster (Lagoon),Lagoon Amusement Park,Vekoma,Wood,1921,40.9849,-111.8951,45,62,0,3.815092592592593,1921-07-15
Big Dipper (Blackpool Pleasure Beach),Blackpool Pleasure Beach,William Strickler,Wood,1923,53.7892,-3.0569,40,103,0,3.7,1923-08-23
Wild Cat (Hersheypark),Hersheypark,Philadelphia Toboggan Coasters,Wood,1923,40.2882,-76.6535,49,103,0,3.815092592592593,1923-06-16
The Bobs (roller coaster),Riverview Park,Prior and Church,Wood,1924,41.9407,-87.6924,50,103,0,3.815092592592593,1924-01-01
Giant Dipper,Santa Cruz Beach Boardwalk,Arthur Looff,Wood,1924,36.9647,-122.0153,55,103,0,3.815092592592593,1924-05-17
Pippin (roller coaster),Kennywood,Vekoma,Wood,1924,40.3889,-79.865,55,103,0,3.815092592592593,1968-01-01
The Thriller (roller coaster),"Cleveland, Ohio, United States",Vekoma,Other,1924,41.58,-81.57,49,103,0,3.815092592592593,1999-01-01
Thunderhawk (Dorney Park),Dorney Park & Wildwater Kingdom,Philadelphia Toboggan Coasters,Wood,1924,40.5798,-75.5355,45,103,0,3.815092592592593,1924-03-30
Big Dipper (Geauga Lake),Geauga Lake,Vekoma,Wood,1925,41.3491,-81.378,32,103,0,3.815092592592593,1925-01-01
Cyclone (Revere Beach),Revere Beach,Traver Engineering,Wood,1925,42.42,-70.986,45,103,0,3.815092592592593,1925-01-01
Giant Dipper (Belmont Park),Other,"Frank Prior, Fredrick Church",Wood,1925,38.37574802043423,-41.59113754789273,48,103,0,3.815092592592593,1925-07-04
Jazz Railway,Rocky Glen Park,Traver Engineering,Wood,1925,41.3533,-75.7059,49,103,0,3.815092592592593,1925-01-01
Thunderbolt (1925 roller coaster),Coney Island,Vekoma,Wood,1925,40.5739,-73.9825,49,103,0,3.815092592592593,1925-01-01
Thunderbolt (Savin Rock),Savin Rock,Traver Engineering,Wood,1925,41.257,-72.95,49,103,0,3.815092592592593,1925-05-05
Crystal Beach Cyclone,Crystal Beach Park,Traver Engineering,Wood,1926,42.8617,-79.0598,60,103,0,4.0,1926-01-01
Sesquicentennial Cyclone,Sesquicentennial Exposition,Traver Engineering,Wood,1926,39.9087,-75.1733,49,103,0,3.815092592592593,1926-05-31
Tornado (Coney Island),Coney Island,Vekoma,Wood,1926,40.574,-73.979,49,103,0,3.815092592592593,1926-01-01
Coney Island Cyclone,"Luna Park, Coney Island",Vekoma,Other,1927,40.5742,-73.9778,60,103,0,3.75,1927-06-26
Cyclone (Palisades Amusement Park),Palisades Amusement Park,Traver Engineering,Wood,1927,40.8281,-73.9778,49,103,0,3.815092592592593,1927-09-10
Lightning (Revere Beach),Revere Beach,Traver Engineering,Wood,1927,42.42,-70.986,49,103,0,3.815092592592593,1927-07-02
Racer (Kennywood),Kennywood,Charlie Mach,Wood,1927,40.3869,-79.8619,40,103,0,3.815092592592593,1927-01-01
Wildcat (Lake Compounce),Lake Compounce,Philadelphia Toboggan Coasters,Wood,1927,41.6408,-72.9231,48,103,0,3.815092592592593,1927-01-01
Zip (roller coaster),Oaks Amusement Park,Traver Engineering,Wood,1927,45.473,-122.6606,49,103,0,3.815092592592593,1927-01-01
Airplane Coaster,Playland,Frank W. Darling,Wood,1928,40.9658,-73.6739,40,103,0,3.815092592592593,1928-05-26
Montaña Suiza,Monte Igueldo Amusement Park,Vekoma,Other,1928,43.3207,-2.0107,31,103,0,3.815092592592593,1928-01-01
Dragon Coaster (Playland),Playland,Vekoma,Wood,1929,40.9675,-73.6739,49,78,0,3.815092592592593,1929-01-01
Flying Turns (Euclid Beach Park),"Cleveland, Ohio, United States",Vekoma,Other,1930,41.58,-81.57,49,103,0,3.815092592592593,1999-01-01
Yankee Cannonball,Canobie Lake Park,Philadelphia Toboggan Coasters,Wood,1930,42.7953,-71.2492,35,65,0,3.815092592592593,1930-01-01
Roller Coaster (Great Yarmouth Pleasure Beach),Great Yarmouth Pleasure Beach,Vekoma,Wood,1932,52.5928,1.7361,45,103,0,3.815092592592593,1932-05-01
Nickelodeon Streak,Blackpool Pleasure Beach,Vekoma,Wood,1933,53.7908,-3.0544,35,103,0,3.0,1933-01-01
Zipper Dipper,Blackpool Pleasure Beach,Vekoma,Other,1934,53.7902,-3.0539,49,103,0,3.815092592592593,1934-01-01
Big Dipper (Luna Park Sydney),Other,Vekoma,Wood,1935,38.37574802043423,-41.59113754789273,58,103,0,3.815092592592593,1999-01-01
Grand National (roller coaster),Blackpool Pleasure Beach,Vekoma,Wood,1935,53.7919,-3.0531,40,103,0,3.2,1935-01-01
Blue Streak (Conneaut Lake),Conneaut Lake Park,Vekoma,Wood,1937,41.6349,-80.318,50,103,0,3.815092592592593,1938-05-23
Rollo Coaster,Idlewild and Soak Zone,Philadelphia Toboggan Coasters,Wood,1938,40.2602,-79.2814,25,103,0,3.815092592592593,1938-01-01
Cyclone (Lakeside Amusement Park),Lakeside Amusement Park,Vekoma,Wood,1940,39.7808,-105.054,55,103,0,3.815092592592593,1940-05-17
Flyer Comet (Whalom Park),Whalom Park,National Amusement Devices,Wood,1940,42.5762,-71.746,40,103,0,3.815092592592593,1940-01-01
Giant Skyrocket,Other,Lake Contrary Amusement Park,Wood,1941,38.37574802043423,-41.59113754789273,49,103,0,3.815092592592593,1999-01-01
Thunderbolt (Six Flags New England),Six Flags New England,Joseph E. Drambour,Wood,1941,42.0389,-72.6133,40,103,0,3.815092592592593,1941-01-01
Comet (Hersheypark),Hersheypark,Philadelphia Toboggan Coasters,Wood,1946,40.2864,-76.6556,50,103,0,3.815092592592593,1946-01-01
Comet (Lincoln Park),Lincoln Park,National Amusement Devices,Wood,1946,41.6362,-71.0432,55,103,0,3.815092592592593,1946-10-01
Little Dipper (Conneaut Lake Park),Conneaut Lake Park,Allan Herschell Company,Steel,1950,41.6343,-80.3165,49,103,0,3.815092592592593,1950-01-01
Little Dipper (Six Flags Great America),Other,Philadelphia Toboggan Coasters,Wood,1950,38.37574802043423,-41.59113754789273,25,103,0,3.815092592592593,1999-01-01
Big Dipper (Battersea Park),Battersea Park,Vekoma,Wood,1951,51.4794,-0.1569,49,49,0,3.815092592592593,1951-01-01
Comet (Waldameer),Waldameer Park,Philadelphia Toboggan Coasters,Wood,1951,42.1077,-80.1568,25,103,0,3.815092592592593,1951-01-01
Vuoristorata,Linnanmäki,"Linnanmäki, led by Svend Jarlström",Wood,1951,60.1886,24.9417,37,78,0,3.815092592592593,1951-07-13
Little Dipper (Memphis Kiddie Park),Memphis Kiddie Park,Allan Herschell Company,Steel,1952,41.4405,-81.7577,49,103,0,3.815092592592593,1952-04-01
High Speed Thrill Coaster,Knoebels Amusement Resort,Vekoma,Steel,1955,40.8801,-76.5027,49,103,0,3.815092592592593,1955-01-01
Sea Dragon (roller coaster),Rides At Adventure Cove,Philadelphia Toboggan Coasters,Wood,1956,40.1544,-83.1203,25,103,0,3.815092592592593,1956-01-01
Big Dipper (Camden Park),Camden Park,National Amusement Devices,Other,1958,38.37574802043423,-41.59113754789273,49,103,0,3.815092592592593,1958-01-01
